waveform;Bridge;FTC1;FTC2;Bridge (Filtered);Resistance_0;Resistance_1
t0;29/11/2021  15:47:56,074456;29/11/2021  15:47:56,074456;29/11/2021  15:47:56,074456;29/11/2021  15:47:56,074456;29/11/2021  15:47:57,367517;29/11/2021  15:47:57,367517
delta t;0,000100;0,000100;0,000100;0,000100;0,512821;0,512821

time;Bridge;FTC1;FTC2;Bridge (Filtered);Resistance_0;Resistance_1
29/11/2021  15:47:57,229856;9,404820E-1;1,936375E-1;2,065085E-1;9,398084E-1;;
29/11/2021  15:47:57,229956;9,398979E-1;1,206827E-1;1,411105E-1;9,398200E-1;;
29/11/2021  15:47:57,230056;9,401154E-1;1,436204E-1;1,663851E-1;9,398317E-1;;
29/11/2021  15:47:57,230156;9,402466E-1;3,657756E-2;7,192142E-2;9,398434E-1;;
29/11/2021  15:47:57,230256;9,401184E-1;1,778134E-2;4,096008E-2;9,398552E-1;;
29/11/2021  15:47:57,230356;9,405803E-1;2,096714E-2;4,032822E-2;9,398670E-1;;
29/11/2021  15:47:57,230456;9,399724E-1;5,346230E-2;6,497092E-2;9,398789E-1;;
29/11/2021  15:47:57,230556;9,405505E-1;2,415294E-2;3,495737E-2;9,398908E-1;;
29/11/2021  15:47:57,230656;9,404731E-1;3,084312E-2;4,380347E-2;9,399028E-1;;
29/11/2021  15:47:57,230756;9,402466E-1;3,880762E-2;4,727872E-2;9,399149E-1;;
29/11/2021  15:47:57,230856;9,398144E-1;1,550893E-1;1,828136E-1;9,399271E-1;;
29/11/2021  15:47:57,230956;9,405297E-1;2,489498E-3;1,947671E-2;9,399393E-1;;
29/11/2021  15:47:57,231056;9,399902E-1;2,170918E-3;1,410586E-2;9,399514E-1;;
29/11/2021  15:47:57,231156;9,402227E-1;5,675298E-3;8,419087E-3;9,399636E-1;;
29/11/2021  15:47:57,231256;9,408247E-1;4,294916E-2;4,664686E-2;9,399757E-1;;
29/11/2021  15:47:57,231356;9,403330E-1;7,289568E-2;5,644075E-2;9,399877E-1;;
29/11/2021  15:47:57,231456;9,401691E-1;9,806350E-2;8,266311E-2;9,399998E-1;;
29/11/2021  15:47:57,231556;9,400320E-1;9,137332E-2;7,918786E-2;9,400118E-1;;
29/11/2021  15:47:57,231656;9,404701E-1;7,735580E-2;6,339125E-2;9,400238E-1;;
29/11/2021  15:47:57,231756;9,403777E-1;1,082581E-1;9,498445E-2;9,400357E-1;;
29/11/2021  15:47:57,231856;9,404880E-1;1,168597E-1;1,019350E-1;9,400475E-1;;
29/11/2021  15:47:57,231956;9,401452E-1;7,703722E-2;7,571260E-2;9,400592E-1;;
29/11/2021  15:47:57,232056;9,405893E-1;1,311958E-1;1,357397E-1;9,400708E-1;;
29/11/2021  15:47:57,232156;9,407025E-1;1,273729E-1;1,164678E-1;9,400823E-1;;
29/11/2021  15:47:57,232256;9,403658E-1;9,870066E-2;9,814378E-2;9,400938E-1;;
29/11/2021  15:47:57,232356;9,406936E-1;1,152668E-1;1,120448E-1;9,401053E-1;;
29/11/2021  15:47:57,232456;9,406638E-1;1,254614E-1;1,224705E-1;9,401168E-1;;
