waveform	Bridge	FTC1	FTC2	Bridge (Filtered)	Resistance_0	Resistance_1
t0	29/11/2021  15:32:51,031077	29/11/2021  15:32:51,031077	29/11/2021  15:32:51,031077	29/11/2021  15:32:51,031077	29/11/2021  15:32:51,569533	29/11/2021  15:32:51,569533
delta t	0,000100	0,000100	0,000100	0,000100	0,010000	0,010000

time	Bridge	FTC1	FTC2	Bridge (Filtered)	Resistance_0	Resistance_1
29/11/2021  15:32:51,040277	9,401422E-1	1,044459E+1	1,287892E-1	9,938407E-1	1,075986E+2	1,079483E+2
29/11/2021  15:32:51,040377	9,408217E-1	1,044459E+1	2,200416E-2	9,911962E-1	1,075986E+2	1,079483E+2
29/11/2021  15:32:51,040477	9,397578E-1	1,044459E+1	1,031468E-2	9,885076E-1	1,075986E+2	1,079483E+2
29/11/2021  15:32:51,040577	9,402793E-1	1,044459E+1	1,916077E-2	9,857886E-1	1,075986E+2	1,079483E+2
29/11/2021  15:32:51,040677	9,404880E-1	1,044459E+1	7,255328E-2	9,830519E-1	1,075986E+2	1,079483E+2
29/11/2021  15:32:51,040777	9,400469E-1	1,044459E+1	7,634447E-2	9,803096E-1	1,075986E+2	1,079483E+2
29/11/2021  15:32:51,040877	9,398204E-1	1,044459E+1	1,420583E-1	9,775731E-1	1,075986E+2	1,079483E+2
29/11/2021  15:32:51,040977	9,406370E-1	1,044459E+1	1,471132E-1	9,748530E-1	1,075986E+2	1,079483E+2
29/11/2021  15:32:51,041077	9,398084E-1	1,044459E+1	1,392149E-1	9,721591E-1	1,075966E+2	1,079487E+2
29/11/2021  15:32:51,041177	9,401571E-1	1,044459E+1	1,385831E-1	9,695004E-1	1,075966E+2	1,079487E+2
29/11/2021  15:32:51,041277	9,401989E-1	1,044459E+1	1,910278E-1	9,668855E-1	1,075966E+2	1,079487E+2
29/11/2021  15:32:51,041377	9,398114E-1	1,044459E+1	3,568921E-1	9,643220E-1	1,075966E+2	1,079487E+2
29/11/2021  15:32:51,041477	9,401393E-1	1,044459E+1	2,794887E-1	9,618168E-1	1,075966E+2	1,079487E+2
29/11/2021  15:32:51,041577	9,395343E-1	1,044459E+1	3,749002E-1	9,593763E-1	1,075966E+2	1,079487E+2
29/11/2021  15:32:51,041677	9,399634E-1	1,044459E+1	3,009721E-1	9,570061E-1	1,075966E+2	1,079487E+2
29/11/2021  15:32:51,041777	9,396356E-1	1,044459E+1	1,534319E-1	9,547112E-1	1,075966E+2	1,079487E+2
29/11/2021  15:32:51,041877	9,398174E-1	1,044459E+1	1,376353E-1	9,524960E-1	1,075966E+2	1,079487E+2
