waveform;Bridge;Resistance_0;Resistance_1
t0;29/11/2021  17:31:09,391641;29/11/2021  17:31:09,901058;29/11/2021  17:31:09,901058
delta t;0,000500;0,005000;0,005000

time;Bridge;Resistance_0;Resistance_1
29/11/2021  17:31:09,685641;9,394329E-4;;
29/11/2021  17:31:09,686141;9,389829E-4;;
29/11/2021  17:31:09,686641;9,401840E-4;;
29/11/2021  17:31:09,687141;9,396565E-4;;
29/11/2021  17:31:09,687641;9,384286E-4;;
29/11/2021  17:31:09,688141;9,392124E-4;;
29/11/2021  17:31:09,688641;9,391319E-4;;
29/11/2021  17:31:09,689141;9,394627E-4;;
29/11/2021  17:31:09,689641;9,380888E-4;;
29/11/2021  17:31:09,690141;9,396624E-4;;
29/11/2021  17:31:09,690641;9,399694E-4;;
29/11/2021  17:31:09,691141;9,394180E-4;;
29/11/2021  17:31:09,691641;9,389263E-4;;
29/11/2021  17:31:09,692141;9,400737E-4;;
29/11/2021  17:31:09,692641;9,395462E-4;;
29/11/2021  17:31:09,693141;9,400946E-4;;
29/11/2021  17:31:09,693641;9,391021E-4;;
29/11/2021  17:31:09,694141;9,394031E-4;;
29/11/2021  17:31:09,694641;9,392720E-4;;
29/11/2021  17:31:09,695141;9,389471E-4;;
29/11/2021  17:31:09,695641;9,389382E-4;;
29/11/2021  17:31:09,696141;9,380709E-4;;
29/11/2021  17:31:09,696641;9,393763E-4;;
29/11/2021  17:31:09,697141;9,396028E-4;;
29/11/2021  17:31:09,697641;9,391200E-4;;
29/11/2021  17:31:09,698141;9,381276E-4;;
29/11/2021  17:31:09,698641;9,386074E-4;;
29/11/2021  17:31:09,699141;9,388369E-4;;
29/11/2021  17:31:09,699641;9,398114E-4;;
29/11/2021  17:31:09,700141;9,383600E-4;;
29/11/2021  17:31:09,700641;9,385508E-4;;
29/11/2021  17:31:09,701141;9,392273E-4;;
29/11/2021  17:31:09,701641;9,387206E-4;;
29/11/2021  17:31:09,702141;9,399604E-4;;
29/11/2021  17:31:09,702641;9,389620E-4;;
29/11/2021  17:31:09,703141;9,391856E-4;;
29/11/2021  17:31:09,703641;9,397399E-4;;
29/11/2021  17:31:09,704141;9,392809E-4;;
29/11/2021  17:31:09,704641;9,393763E-4;;
29/11/2021  17:31:09,705141;9,394240E-4;;
29/11/2021  17:31:09,705641;9,391766E-4;;
29/11/2021  17:31:09,706141;9,398204E-4;;
29/11/2021  17:31:09,706641;9,391081E-4;;
29/11/2021  17:31:09,707141;9,398412E-4;;
29/11/2021  17:31:09,707641;9,403628E-4;;
29/11/2021  17:31:09,708141;9,394747E-4;;
29/11/2021  17:31:09,708641;9,402018E-4;;
29/11/2021  17:31:09,709141;9,391409E-4;;
29/11/2021  17:31:09,709641;9,391945E-4;;
29/11/2021  17:31:09,710141;9,387445E-4;;
29/11/2021  17:31:09,710641;9,402048E-4;;
29/11/2021  17:31:09,711141;9,389561E-4;;
29/11/2021  17:31:09,711641;9,393405E-4;;
29/11/2021  17:31:09,712141;9,394240E-4;;
29/11/2021  17:31:09,712641;9,397369E-4;;
29/11/2021  17:31:09,713141;9,402644E-4;;
29/11/2021  17:31:09,713641;9,396535E-4;;
29/11/2021  17:31:09,714141;9,404731E-4;;
29/11/2021  17:31:09,714641;9,394091E-4;;
29/11/2021  17:31:09,715141;9,399217E-4;;
29/11/2021  17:31:09,715641;9,393793E-4;;
29/11/2021  17:31:09,716141;9,390574E-4;;
29/11/2021  17:31:09,716641;9,387266E-4;;
29/11/2021  17:31:09,717141;9,400558E-4;;
29/11/2021  17:31:09,717641;9,400171E-4;;
29/11/2021  17:31:09,718141;9,401601E-4;;
29/11/2021  17:31:09,718641;9,395283E-4;;
29/11/2021  17:31:09,719141;9,393018E-4;;
29/11/2021  17:31:09,719641;9,384256E-4;;
29/11/2021  17:31:09,720141;9,390634E-4;;
29/11/2021  17:31:09,720641;9,390783E-4;;
29/11/2021  17:31:09,721141;9,390187E-4;;
29/11/2021  17:31:09,721641;9,399396E-4;;
29/11/2021  17:31:09,722141;9,396475E-4;;
29/11/2021  17:31:09,722641;9,404194E-4;;
29/11/2021  17:31:09,723141;9,393376E-4;;
29/11/2021  17:31:09,723641;9,395909E-4;;
29/11/2021  17:31:09,724141;9,382676E-4;;
29/11/2021  17:31:09,724641;9,399783E-4;;
29/11/2021  17:31:09,725141;9,401095E-4;;
29/11/2021  17:31:09,725641;9,392541E-4;;
29/11/2021  17:31:09,726141;9,385984E-4;;
29/11/2021  17:31:09,726641;9,388488E-4;;
29/11/2021  17:31:09,727141;9,406012E-4;;
29/11/2021  17:31:09,727641;9,390813E-4;;
29/11/2021  17:31:09,728141;9,386908E-4;;
29/11/2021  17:31:09,728641;9,391051E-4;;
29/11/2021  17:31:09,729141;9,392273E-4;;
29/11/2021  17:31:09,729641;9,389352E-4;;
29/11/2021  17:31:09,730141;9,398472E-4;;
29/11/2021  17:31:09,730641;9,393823E-4;;
29/11/2021  17:31:09,731141;9,387922E-4;;
29/11/2021  17:31:09,731641;9,399247E-4;;
29/11/2021  17:31:09,732141;9,391677E-4;;
29/11/2021  17:31:09,732641;9,403687E-4;;
29/11/2021  17:31:09,733141;9,395760E-4;;
29/11/2021  17:31:09,733641;9,394687E-4;;
29/11/2021  17:31:09,734141;9,394329E-4;;
29/11/2021  17:31:09,734641;9,392869E-4;;
29/11/2021  17:31:09,735141;9,389501E-4;;
29/11/2021  17:31:09,735641;9,389650E-4;;
29/11/2021  17:31:09,736141;9,397637E-4;;
29/11/2021  17:31:09,736641;9,391260E-4;;
29/11/2021  17:31:09,737141;9,382885E-4;;
29/11/2021  17:31:09,737641;9,388786E-4;;
29/11/2021  17:31:09,738141;9,387922E-4;;
29/11/2021  17:31:09,738641;9,392750E-4;;
29/11/2021  17:31:09,739141;9,397965E-4;;
29/11/2021  17:31:09,739641;9,390783E-4;;
29/11/2021  17:31:09,740141;9,397310E-4;;
29/11/2021  17:31:09,740641;9,387951E-4;;
29/11/2021  17:31:09,741141;9,394061E-4;;
29/11/2021  17:31:09,741641;9,380590E-4;;
29/11/2021  17:31:09,742141;9,394419E-4;;
29/11/2021  17:31:09,742641;9,393793E-4;;
29/11/2021  17:31:09,743141;9,385537E-4;;
29/11/2021  17:31:09,743641;9,380113E-4;;
29/11/2021  17:31:09,744141;9,379100E-4;;
29/11/2021  17:31:09,744641;9,388697E-4;;
29/11/2021  17:31:09,745141;9,388428E-4;;
29/11/2021  17:31:09,745641;9,391498E-4;;
29/11/2021  17:31:09,746141;9,386074E-4;;
29/11/2021  17:31:09,746641;9,393763E-4;;
29/11/2021  17:31:09,747141;9,395879E-4;;
29/11/2021  17:31:09,747641;9,388041E-4;;
29/11/2021  17:31:09,748141;9,379845E-4;;
29/11/2021  17:31:09,748641;9,386998E-4;;
29/11/2021  17:31:09,749141;9,389114E-4;;
29/11/2021  17:31:09,749641;9,385329E-4;;
