waveform	Bridge	T_amb	T_cell
t0	29/11/2021  14:02:54,327063	29/11/2021  14:02:54,327063	29/11/2021  14:02:54,327063
delta t	0,000500	0,000500	0,000500

time	Bridge	T_amb	T_cell
29/11/2021  14:02:54,386563	9,392243E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,387063	9,389442E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,387563	9,394121E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,388063	9,396803E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,388563	9,388697E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,389063	9,386759E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,389563	9,391289E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,390063	9,388697E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,390563	9,387862E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,391063	9,389710E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,391563	9,383928E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,392063	9,390842E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,392563	9,394776E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,393063	9,388816E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,393563	9,401959E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,394063	9,391438E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,394563	9,404254E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,395063	9,395730E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,395563	9,393167E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,396063	9,405058E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,396563	9,395402E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,397063	9,395432E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,397563	9,390723E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,398063	9,395164E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,398563	9,398472E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,399063	9,396624E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,399563	9,392124E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,400063	9,395819E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,400563	9,392422E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,401063	9,403419E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,401563	9,389024E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,402063	9,385120E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,402563	9,398233E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,403063	9,394121E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,403563	9,401720E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,404063	9,395104E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,404563	9,398502E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,405063	9,389173E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,405563	9,396565E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,406063	9,383868E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,406563	9,397161E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,407063	9,392660E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,407563	9,394210E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,408063	9,393525E-4	1,072884E-4	1,144409E-4
