waveform;Bridge;T_env;T_cell
t0;02/12/2021  13:33:22,925033;02/12/2021  13:33:23,436736;02/12/2021  13:33:23,436736
delta t;0,000500;0,005000;0,005000

time;Bridge;T_env;T_cell
02/12/2021  13:33:44,426033;1,230659E-3;;
02/12/2021  13:33:44,426533;1,232146E-3;;
02/12/2021  13:33:44,427033;1,231291E-3;;
02/12/2021  13:33:44,427533;1,231872E-3;;
02/12/2021  13:33:44,428033;1,231046E-3;;
02/12/2021  13:33:44,428533;1,230260E-3;;
02/12/2021  13:33:44,429033;1,231422E-3;;
02/12/2021  13:33:44,429533;1,231079E-3;;
02/12/2021  13:33:44,430033;1,230674E-3;;
02/12/2021  13:33:44,430533;1,231169E-3;;
02/12/2021  13:33:44,431033;1,230873E-3;;
02/12/2021  13:33:44,431533;1,231058E-3;;
02/12/2021  13:33:44,432033;1,231100E-3;;
02/12/2021  13:33:44,432533;1,231490E-3;;
02/12/2021  13:33:44,433033;1,231264E-3;;
02/12/2021  13:33:44,433533;1,230280E-3;;
02/12/2021  13:33:44,434033;1,231586E-3;;
02/12/2021  13:33:44,434533;1,232083E-3;;
02/12/2021  13:33:44,435033;1,231672E-3;;
02/12/2021  13:33:44,435533;1,230873E-3;;
02/12/2021  13:33:44,436033;1,231908E-3;;
02/12/2021  13:33:44,436533;1,231422E-3;;
02/12/2021  13:33:44,437033;1,231946E-3;;
02/12/2021  13:33:44,437533;1,232203E-3;;
02/12/2021  13:33:44,438033;1,231595E-3;;
02/12/2021  13:33:44,438533;1,231529E-3;;
02/12/2021  13:33:44,439033;1,231863E-3;;
02/12/2021  13:33:44,439533;1,231058E-3;;
02/12/2021  13:33:44,440033;1,231031E-3;;
02/12/2021  13:33:44,440533;1,231368E-3;;
02/12/2021  13:33:44,441033;1,231049E-3;;
02/12/2021  13:33:44,441533;1,231693E-3;;
02/12/2021  13:33:44,442033;1,231756E-3;;
02/12/2021  13:33:44,442533;1,231535E-3;;
02/12/2021  13:33:44,443033;1,231344E-3;;
02/12/2021  13:33:44,443533;1,231508E-3;;
02/12/2021  13:33:44,444033;1,231031E-3;;
02/12/2021  13:33:44,444533;1,231136E-3;;
02/12/2021  13:33:44,445033;1,231654E-3;;
02/12/2021  13:33:44,445533;1,231020E-3;;
02/12/2021  13:33:44,446033;1,230486E-3;;
02/12/2021  13:33:44,446533;1,232233E-3;;
02/12/2021  13:33:44,447033;1,231240E-3;;
02/12/2021  13:33:44,447533;1,231401E-3;;
02/12/2021  13:33:44,448033;1,231976E-3;;
02/12/2021  13:33:44,448533;1,231562E-3;;
02/12/2021  13:33:44,449033;1,231055E-3;;
02/12/2021  13:33:44,449533;1,231088E-3;;
02/12/2021  13:33:44,450033;1,231604E-3;;
02/12/2021  13:33:44,450533;1,231049E-3;;
02/12/2021  13:33:44,451033;1,231657E-3;;
02/12/2021  13:33:44,451533;1,231666E-3;;
02/12/2021  13:33:44,452033;1,232066E-3;;
02/12/2021  13:33:44,452533;1,233049E-3;;
02/12/2021  13:33:44,453033;1,231520E-3;;
02/12/2021  13:33:44,453533;1,231347E-3;;
02/12/2021  13:33:44,454033;1,230295E-3;;
02/12/2021  13:33:44,454533;1,231404E-3;;
02/12/2021  13:33:44,455033;1,231622E-3;;
02/12/2021  13:33:44,455533;1,232197E-3;;
02/12/2021  13:33:44,456033;1,231857E-3;;
02/12/2021  13:33:44,456533;1,231774E-3;;
02/12/2021  13:33:44,457033;1,231273E-3;;
02/12/2021  13:33:44,457533;1,231687E-3;;
02/12/2021  13:33:44,458033;1,231490E-3;;
02/12/2021  13:33:44,458533;1,231794E-3;;
02/12/2021  13:33:44,459033;1,231011E-3;;
02/12/2021  13:33:44,459533;1,230900E-3;;
02/12/2021  13:33:44,460033;1,230820E-3;;
02/12/2021  13:33:44,460533;1,231145E-3;;
02/12/2021  13:33:44,461033;1,232450E-3;;
02/12/2021  13:33:44,461533;1,231100E-3;;
02/12/2021  13:33:44,462033;1,231628E-3;;
02/12/2021  13:33:44,462533;1,230772E-3;;
02/12/2021  13:33:44,463033;1,230590E-3;;
02/12/2021  13:33:44,463533;1,231270E-3;;
02/12/2021  13:33:44,464033;1,230823E-3;;
02/12/2021  13:33:44,464533;1,232161E-3;;
02/12/2021  13:33:44,465033;1,231121E-3;;
02/12/2021  13:33:44,465533;1,231365E-3;;
02/12/2021  13:33:44,466033;1,231809E-3;;
02/12/2021  13:33:44,466533;1,231264E-3;;
02/12/2021  13:33:44,467033;1,231362E-3;;
02/12/2021  13:33:44,467533;1,231237E-3;;
02/12/2021  13:33:44,468033;1,231049E-3;;
02/12/2021  13:33:44,468533;1,231392E-3;;
02/12/2021  13:33:44,469033;1,232545E-3;;
02/12/2021  13:33:44,469533;1,231470E-3;;
02/12/2021  13:33:44,470033;1,230298E-3;;
02/12/2021  13:33:44,470533;1,231774E-3;;
02/12/2021  13:33:44,471033;1,231580E-3;;
02/12/2021  13:33:44,471533;1,231037E-3;;
02/12/2021  13:33:44,472033;1,231395E-3;;
02/12/2021  13:33:44,472533;1,230897E-3;;
02/12/2021  13:33:44,473033;1,230719E-3;;
02/12/2021  13:33:44,473533;1,231580E-3;;
